catalog_id,tif,minxy,maxxy
105001000B920A00,3020012.tif,"(-95.44921875, 29.619140625)","(-95.361328125, 29.70703125)"
105001000B920A00,3020003.tif,"(-95.537109375, 29.619140625)","(-95.44921875, 29.70703125)"
105001000B920A00,3020031.tif,"(-95.361328125, 29.70703125)","(-95.2734375, 29.794921875)"
105001000B920A00,3020013.tif,"(-95.361328125, 29.619140625)","(-95.2734375, 29.70703125)"
105001000B920A00,3020203.tif,"(-95.537109375, 29.970703125)","(-95.44921875, 30.05859375)"
105001000B920A00,3020211.tif,"(-95.361328125, 29.8828125)","(-95.2734375, 29.970703125)"
105001000B920A00,3020032.tif,"(-95.44921875, 29.794921875)","(-95.361328125, 29.8828125)"
105001000B920A00,3020231.tif,"(-95.361328125, 30.05859375)","(-95.2734375, 30.146484375)"
105001000B920A00,3020210.tif,"(-95.44921875, 29.8828125)","(-95.361328125, 29.970703125)"
105001000B920A00,3020011.tif,"(-95.361328125, 29.53125)","(-95.2734375, 29.619140625)"
105001000B920A00,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)"
105001000B920A00,3020232.tif,"(-95.44921875, 30.146484375)","(-95.361328125, 30.234375)"
105001000B920A00,3020033.tif,"(-95.361328125, 29.794921875)","(-95.2734375, 29.8828125)"
105001000B920A00,3020212.tif,"(-95.44921875, 29.970703125)","(-95.361328125, 30.05859375)"
105001000B920A00,3020201.tif,"(-95.537109375, 29.8828125)","(-95.44921875, 29.970703125)"
105001000B920A00,3020001.tif,"(-95.537109375, 29.53125)","(-95.44921875, 29.619140625)"
105001000B920A00,3020233.tif,"(-95.361328125, 30.146484375)","(-95.2734375, 30.234375)"
103001006D44B500,3000303.tif,"(-95.185546875, 28.564453125)","(-95.09765625, 28.65234375)"
103001006D44B500,3000200.tif,"(-95.625, 28.4765625)","(-95.537109375, 28.564453125)"
103001006D44B500,3000320.tif,"(-95.2734375, 28.65234375)","(-95.185546875, 28.740234375)"
103001006D44B500,3002210.tif,"(-95.44921875, 29.1796875)","(-95.361328125, 29.267578125)"
103001006D44B500,3000323.tif,"(-95.185546875, 28.740234375)","(-95.09765625, 28.828125)"
103001006D44B500,3000120.tif,"(-95.2734375, 28.30078125)","(-95.185546875, 28.388671875)"
103001006D44B500,3000220.tif,"(-95.625, 28.65234375)","(-95.537109375, 28.740234375)"
103001006D44B500,3002110.tif,"(-95.09765625, 28.828125)","(-95.009765625, 28.916015625)"
103001006D44B500,3000122.tif,"(-95.2734375, 28.388671875)","(-95.185546875, 28.4765625)"
103001006D44B500,3000020.tif,"(-95.625, 28.30078125)","(-95.537109375, 28.388671875)"
103001006D44B500,3002013.tif,"(-95.361328125, 28.916015625)","(-95.2734375, 29.00390625)"
103001006D44B500,3000221.tif,"(-95.537109375, 28.65234375)","(-95.44921875, 28.740234375)"
103001006D44B500,3000201.tif,"(-95.537109375, 28.4765625)","(-95.44921875, 28.564453125)"
103001006D44B500,3002122.tif,"(-95.2734375, 29.091796875)","(-95.185546875, 29.1796875)"
103001006D44B500,3000033.tif,"(-95.361328125, 28.388671875)","(-95.2734375, 28.4765625)"
103001006D44B500,3002102.tif,"(-95.2734375, 28.916015625)","(-95.185546875, 29.00390625)"
103001006D44B500,3002100.tif,"(-95.2734375, 28.828125)","(-95.185546875, 28.916015625)"
103001006D44B500,3002030.tif,"(-95.44921875, 29.00390625)","(-95.361328125, 29.091796875)"
103001006D44B500,3000300.tif,"(-95.2734375, 28.4765625)","(-95.185546875, 28.564453125)"
103001006D44B500,3000232.tif,"(-95.44921875, 28.740234375)","(-95.361328125, 28.828125)"
103001006D44B500,3002300.tif,"(-95.2734375, 29.1796875)","(-95.185546875, 29.267578125)"
103001006D44B500,3000211.tif,"(-95.361328125, 28.4765625)","(-95.2734375, 28.564453125)"
103001006D44B500,3002301.tif,"(-95.185546875, 29.1796875)","(-95.09765625, 29.267578125)"
103001006D44B500,3000230.tif,"(-95.44921875, 28.65234375)","(-95.361328125, 28.740234375)"
103001006D44B500,3000030.tif,"(-95.44921875, 28.30078125)","(-95.361328125, 28.388671875)"
103001006D44B500,3002031.tif,"(-95.361328125, 29.00390625)","(-95.2734375, 29.091796875)"
103001006D44B500,3002032.tif,"(-95.44921875, 29.091796875)","(-95.361328125, 29.1796875)"
103001006D44B500,3002310.tif,"(-95.09765625, 29.1796875)","(-95.009765625, 29.267578125)"
103001006D44B500,3000312.tif,"(-95.09765625, 28.564453125)","(-95.009765625, 28.65234375)"
103001006D44B500,3002010.tif,"(-95.44921875, 28.828125)","(-95.361328125, 28.916015625)"
103001006D44B500,3002020.tif,"(-95.625, 29.00390625)","(-95.537109375, 29.091796875)"
103001006D44B500,3000203.tif,"(-95.537109375, 28.564453125)","(-95.44921875, 28.65234375)"
103001006D44B500,3000330.tif,"(-95.09765625, 28.65234375)","(-95.009765625, 28.740234375)"
103001006D44B500,3002123.tif,"(-95.185546875, 29.091796875)","(-95.09765625, 29.1796875)"
103001006D44B500,3000332.tif,"(-95.09765625, 28.740234375)","(-95.009765625, 28.828125)"
103001006D44B500,3000321.tif,"(-95.185546875, 28.65234375)","(-95.09765625, 28.740234375)"
103001006D44B500,3000130.tif,"(-95.09765625, 28.30078125)","(-95.009765625, 28.388671875)"
103001006D44B500,3000233.tif,"(-95.361328125, 28.740234375)","(-95.2734375, 28.828125)"
103001006D44B500,3000032.tif,"(-95.44921875, 28.388671875)","(-95.361328125, 28.4765625)"
103001006D44B500,3002121.tif,"(-95.185546875, 29.00390625)","(-95.09765625, 29.091796875)"
103001006D44B500,3000310.tif,"(-95.09765625, 28.4765625)","(-95.009765625, 28.564453125)"
103001006D44B500,3002101.tif,"(-95.185546875, 28.828125)","(-95.09765625, 28.916015625)"
103001006D44B500,3002200.tif,"(-95.625, 29.1796875)","(-95.537109375, 29.267578125)"
103001006D44B500,3000302.tif,"(-95.2734375, 28.564453125)","(-95.185546875, 28.65234375)"
103001006D44B500,3000031.tif,"(-95.361328125, 28.30078125)","(-95.2734375, 28.388671875)"
103001006D44B500,3002033.tif,"(-95.361328125, 29.091796875)","(-95.2734375, 29.1796875)"
103001006D44B500,3002022.tif,"(-95.625, 29.091796875)","(-95.537109375, 29.1796875)"
103001006D44B500,3002120.tif,"(-95.2734375, 29.00390625)","(-95.185546875, 29.091796875)"
103001006D44B500,3002023.tif,"(-95.537109375, 29.091796875)","(-95.44921875, 29.1796875)"
103001006D44B500,3002011.tif,"(-95.361328125, 28.828125)","(-95.2734375, 28.916015625)"
103001006D44B500,3002002.tif,"(-95.625, 28.916015625)","(-95.537109375, 29.00390625)"
103001006D44B500,3002130.tif,"(-95.09765625, 29.00390625)","(-95.009765625, 29.091796875)"
